tipos,descripcion
ISFJ,"gente grupo maravilloso : raro vez sentir hacer mientras causar digno resolver . capacidad relacionarse demás formar íntimo rival introvertido ; alegría experimentar usar relacionar mantener familia unir feliz , regalar involucrar . especialmente cómodo centrar atención poder sentirse culpable ponerse medalla esfuerzo equipar , si asegurar esfuerzo reconocer propenso sentir nivel satisfacción hacer tipo poder soñar . apoyar : ayudante universal , compartir conocimiento , experiencia , tiempo energía cualquiera necesitar , aun amigo familiar . personar esforzar situación ganar - ganar , elegir empatía juicio siempre posible ."
ENFJ,"altruista : unir cualidad desear inquebrantable protagonista hacer bien comunidad , propio hogar escenario global . afectuoso desinteresar , protagonista realmente creer si poder unir personar , poder hacer mundo bien ."
ESTP,"“ lo vida aventurar atrevido nadar . ” individuo emprendedor siempre lograr impactar entornar inmediato ; mejor manera detectarlos fiesta buscar remolinar gente revolotear alrededor pasar grupo otro . hacer reír entretener humor enérgico práctico ; emprendedor encantar ser centrar atención . si pedir miembro audiencia subir escenario , hacer hacer subir amigar tímido ."
ENTJ,"realmente poderoso cultivar imagen ser importante universo , mucho ocasionar ser . personar recordar prestigiar provenir únicamente propio accionar sino trabajar equipar sostener , importante reconocer contribución , talento necesidad , especialmente perspectivo emocional , redar apoyar . si individuo comandante capaz combinar enfocar emocionalmente aceptable juntar fortaleza , aun adoptar mentalidad “ fingir lograrlo ” , recompensar relacionar profundo satisfactorio todo desafiante victoria poder manejar . eficiente : ver ineficiencia problema mismo , sino alejar tiempo energía objetivo futuro , elaborar sabotaje consistir irracionalidad pereza . personar comandante erradicar comportamiento querer ir ."
ENTJ,felicidad encontrar alegría conseguir meter
ESFJ,"demasiar desinteresar : lado vez intentar establecer valor atención , abrumar rápidamente aquel necesitar , último instancia bienvenido . además , menudo descuidar propio necesidad procesar ."
ESTP,mayoría personar escuchar suficiente
ESTJ,"“ uno bueno orden fundamentar todo coser . ” representante tradición orden , utilizar conocimiento correcto , incorrecto socialmente aceptable unir familia comunidad . adoptar valorar honestidad , dedicación dignidad , personar valorar claridad asesoramiento orientación , ofrecer voluntariamente líder momento difícil . hacer galo capacidad unir personar , mucho vez adoptar papel organizador comunidad trabajar durar juntar celebración evento local defensa valorar tradicional , mantener junto familia comunidad ."
INFP,"suerte , flor primavera , afectar , creatividad , altruismo idealismo mediador siempre volver recompensar mismo aquel amar , tal vez utilidad sino visión mundo inspirar compasión , bondad belleza querer ir . idealista : amigo ser querido mediador llegar admirar depender optimismo . creencia inquebrantable todo personar inherentemente bueno , tal vez simplemente malentender , presto actitud increíblemente resistente frente dificultad ."
ENFJ,"“ todo hacer proyectar exterior afecto todo . postura iluminar corazón transmitir ansiedad . alentar irradiar amor ensombrecer habitación depresión . mirar despertar alegría . palabra poder inspirar libertar . cada acto abrir corazón mente . ” protagonista líder nato , lleno pasión carisma . representar do ciento población , soler ser político , entrenador maestro , superar inspirar superarse hacer bien mundo . confianza natural generar influenciar , personar sentir gran orgullo alegría guiar trabajar junto fin mejorarse mismo comunidad ."
ESTJ,"dificultar expresar emocionar : evidenciar mayor debilidad ejecutivo : expresar emocionar sentir empatía . personar ejecutivo quedar tan atrapar hecho método efectivo olvidar pensar hacer feliz demás , sensibilidad . desviar ser impresionantemente hermoso , alegría familia , poder ver consecuencia llegar destinar hora tardar , lastimar ser querido rechazar noción demasiar forzar ."
ISFP,"autoestima fluctuante : exigir cuantificar habilidad , difícil hacer fortaleza sensibilidad arte aventurero . esfuerzo menudo desestimar , golpe hiriente dañino , especialmente temprano vida . poder comenzar creer detractor fuerte apoyar ."
ESTJ,"disfrutar crear orden : caos hacer coser impredecible , confiar coser impredecible necesitar . contar , esforzar crear orden seguridad entorno mediante establecimiento reglar , estructurar rolar claro ."
INTJ,"desorientar romance : resentimiento hacia reglar tendencia sobreanalizar juzgar , incluso arrogancia , sumo menudo desorientar citar . tener nuevo relación duro suficiente entender suceder cómo comportarse difícil . esforzarse formar acostumbrar empeorar coser y , desafortunadamente , común simplemente abandonar búsqueda amor . irónicamente , relajar mejor momento , entonces probable atraer especial esforzar ."
ISFJ,"reprimir sentimiento : personar privar sensible , internalizando sentimiento . mismo manera proteger sentimiento demás , deber proteger suyo , falto expresión emocional saludable generar estrés frustración ."
ISTP,"creativo práctico : imaginativo tratar coser práctico , mecánico artesanal . ideo nuevo surgir fácilmente encantar usar mano ponerlas acción ."
INTJ,"alto confianza mismo : confiar racionalismo encimar demás , decidir algo , motivo dudar decisión ideo . creer estilar comunicación honestar directo ver frenar esperar ellos . razón , razón , cambiar hacer . personar , procesar mismo cuyo cursar necesitar ser corregir , mantener posición manera ."
ENTP,"insensible : ser tan racional , debaters menudo juzgar mal sentimiento demás empujar debatir allá nivelar tolerancia demás . personar tampoco considerar punto emocional válido talar debatir , magnificar enormemente temer ."
INFP,"difícil conocer : mediador privar , reservar tímido . hacer notoriamente difícil conocer realmente , necesidad cualidad contribuir culpar menudo sentir dar mismo ser querido ."
ESTJ,mejor aun aquel reconocer equivocar
INFP,"demasiar altruista : mediador vez considerar egoísta , querer dar poder . convertir profecía autocumplida , intentar obligarse comprometerse causar elegir , olvidar atender necesidad demás vida , especialmente mismo ."
ESTJ,"voluntario : voluntad fuerte hacer posible dedicación , renunciar creencia deber simple oposición . defender ideo principio implacablemente , deber demostrar equivocar manera claro concluyente postura ceder ."
INTJ,"irradiar confianza mismo aura misterio , interesante observación , ideo original formidable poder impulsar cambiar través forzar voluntad forzar personalidad . vez poder parecer tendencia desmontar reconstruir todo ideo sistema entrar contactar , emplear perfeccionismo incluso moralidad trabajar . cualquiera talento seguir pasar proceso arquitecto , peor aun , ver razón ser , probable perder inmediato permanentemente respetar ."
ESTP,"desestructurado : ver oportunidad : solucionar problema , avanzar , divertirse aprovechar momento , menudo ignorar reglar expectativa social procesar . hacer coser hacer , crear consecuencia social inesperado ."
INFJ,"perspicaz : ver través deshonestidad motivo falso , superar táctico manipulación venta entrar discusión honesto . defensor ver cómo personar evento conectar . entonces poder usar información llegar meollo asunto ."
INFP,"mente abrir flexible : actitud vivir dejar vivir natural mediador , gustar limitar reglar . mediador beneficiar dudar , mientras principio ideo cuestionar , apoyar derecho demás hacer pensar correcto ."
ISTP,"compromiso disgustar : compromiso largar plazo particularmente oneroso virtuoso . preferir tomar coser día día , sensación encerrar tiempo francamente opresivo . ser desafiar particular relacionar romántico virtuoso ."
ENFP,"enérgico entusiasta : mientras observar , formar nuevo conexionar ideo , callar , entusiasmar hallazgo compartir cualquiera escuchar . entusiasmar contagioso doblar beneficiar darles campañantes oportunidad establecer conexionar social , brindarles nuevo fuente información experiencia , encajar opinión nuevo amigo ideo existente ."
INFJ,"siempre deber tener causar : defensor quedar tan atrapar actividad cualquiera tarea engorroso interponer visión ideal profundamente desagradable . gustar saber dar paso concreto hacia objetivo . si tarea rutina sentir interponer , peor aun , ninguno objetivar absoluto , sentir inquieto decepcionar ."
INFJ,"embargar , importante recordar deber cuidarse mismo . pasión convicción llevar allá agotamiento si entusiasmar ir mano , poder quedarse exhausto , ponerse enfermo estresarse . hacer especialmente evidente enfrentar conflicto crítico ; sensibilidad obligar hacer posible evitar ataque aparentemente personal , circunstancia inevitable poder luchar formar inútil irracional ."
ISTJ,"siempre pie letra : especialista logístico creer coser funcionar mejor reglar claramente definir , hacer reacio doblegar reglar probar coser nuevo , incluso inconveniente mínimo . entorno verdaderamente desestructurados dejar especialista logístico prácticamente paralizar ."
ENTP,"“ seguir caminar pensador independiente , inseguro . exponer ideo peligro controversia . decir pensar temer menos tildar excéntrico estigma conformidad . cuestionar parecer importante , ponte pie hazte tener contar cualquiera preciar . ” individuo extremar diablo , destacar procesar deshilachar argumento creencia dejar jirón derivar viento ver . diferenciar decidir , innovador hacer tratar lograr alguno propósito profundar alguno meter estratégico sino sencillo razón divertir . nadie amar procesar combatir mental innovador , dar oportunidad ejercer rápido ingeniar esforzar , amplio basar conocimiento acumular capacidad conectar ideo disparar demostrar punto ."
ENTP,"resultarle difícil concentrarse : mismo flexibilidad permitir debaters proponer plan ideo tan original hacer readaptar demasiar frecuencia demasiar frecuencia , incluso dejarlos caer completar medir disminuir emoción inicial surgir nuevo pensamiento . aburrimiento demasiar fácil debaters , pensamiento fresco solución , aunque siempre útil ."
ENFJ,"fiable : único irritar protagonista ideo decepcionar hacer creer . si posible , siempre contar protagonista cumplir ."
INTJ,"reglar , límite tradición anatema individuo arquitecto : deber abrir cuestionamiento reevaluación ; y , si ver modo hacerlo , soler actuar manera unilateral implementar método ideo técnicamente superior , vez insensible casi siempre ortodoxo ."
INTJ,"trabajador decidir : si atraer interés , architect poder dedicarse trabajar . menudo dedicar largo hora esforzar intensar . orientar objetivo , si tarea conducir claro relevante , esforzar cumplir tarea ."
ESTJ,todo digno defender creer justar ...
ESTJ,"prototipar clásico ciudadano modelar : ayudar vecino , defender legalidad tratar asegurarse mundo participar comunidad organización querer ."
INFP,"capacidad mediador lenguaje detener idioma materno ; considerar superdotado hora aprender segundar ( o 3 ) idioma . don comunicación conducir desear armonía partir mediador , ayudar seguir adelantar descubrir vocación ."
ESFP,"estético espectáculo : detenerse simple conjunto , artista inyectar creatividad artístico palabra accionar también . cada día actuación , artista encantar montar espectáculo ."
ENTJ,"ideo subyacente recorrer mente comandante poder ser asir comer : “ no importar si llamar c****n insensible , siempre seguir ser c****n eficiente ” ."
ESTJ,"difícil relajarse : necesidad respetar fomentar necesidad mantener dignidad , dificultar aflojamiento relajación riesgo parecer tonto , incluso diversión ."
INFP,"individuo verdadero idealista , siempre buscar alguno atisbar bondad , incluso peor personar peor acontecimiento , tratar encontrar formar hacer coser mejor . aunque vez considerar tranquilo , reservar , incluso tímido , mediador llamar interior pasión realmente brillar . constituir 4 % población , riesgo sentirse incomprendido desafortunadamente alto personar mediador , encontrar personar ideo afinar , armonía sentir fuente alegría inspiración ."
ENFP,"emplear tiempo explorar relacionar social , sentimiento ideo encontrar realmente sonar verdad . finalmente encontrar lugar mundo , imaginación , empatía coraje susceptible producir resultar increíble ."
ESFP,... y merecer brillar
ENFJ,"luchar tomar decisión difícil : si ver atrapar roca lugar difícil , protagonista poder sufrir parálisis , imaginar todo consecuencia accionar , especialmente si consecuencia humanitario ."
INFP,"gustar tratar dato : mediador menudo tan centrar panorama general olvidar bosque hacer árbol individual . mediador sintonía emocionar moral , hecho dato contradecir ideal , ser verdadero desafiar ellos ."
INTJ,reflexionar viajar
ENFJ,"demasiar sensible : si bien receptivo crítico , verlo herramienta liderar mejor equipar , fácil protagonista tomarlo demasiar seriar . sensibilidad hacia demás significar protagonista vez sentir problema tratar arreglar coser poder solucionar , preocupándose si hacer suficiente ."
ENTP,"hacer diablo ayudar personar innovador , desarrollar mejor ideo razonamiento demás sino mejor comprensión ideo oponer , innovador discutir ."
ESTP,"sociable : todo cualidad unir formar grupo natural líder emprendedor . buscar activamente : personar simplemente habilidad hacer excelente usar interacción social oportunidad establecer contacto . insensible : sentimiento emocionar segundo hecho "" realidad "" emprendedor . situación cargar emocionar asunto incómodo incómodo , honestidad contundente ayudar aquí . menudo problema reconocer expresar propio sentimiento también ."
ESFP,"mayor desafiar enfrentar menudo tan concentrar placer inmediato descuidar deber responsabilidad hacer posible lujo . análisis complejo , tarea repetitivo trabajar hacer coincidir estadístico consecuencia real actividad fácil animador . preferir confiar suerte oportunidad , simplemente pedir ayudar amplio círculo amigo . importante poner retar personal perder vestir coser largar plazo , ejemplo plan jubilación ingesta azúcar ; siempre alguien ahí pendiente coser ."
ESFJ,"gente encantar ser servicial disfrutar cualquiera papel permitir participar manera significativo , siempre saber valorar apreciar . especialmente evidente hogar , parejo padre leal dedicar . respetar jerarquía hacer posible posicionarse cierto autoridad casar trabajar , permitir mantener coser claro , estable organizar todo ."
INTP,"“ aprender ayer , vivir hoy , tener esperanzar mañana . importante dejar hacerse preguntar . ” bastante raro representar tres ciento población , definitivamente bueno ellos , hacer ser menos feliz ser “ común ” . enorgullecer inventivo creatividad , perspectivo único potente intelecto . conocido generalmente filósofo , profesor soñador , ser responsable descubrimiento científico largar historia ."
ISTJ,"crear hacer cumplir orden : objetivar principal cualquiera logístico ser eficaz elegir hacer , creer lograr mejor involucrar saber exactamente suceder qué . pautar claro personar infringir reglar establecer socavar esforzar raro vez tolerar especialista logístico . estructurar reglar fomentar confiabilidad ; caos creer contratiempo imprevisto plazo vencer ."
